Time,AltitudeMeters,LatitudeDegrees,LongitudeDegrees,HeartRateBpm,SecondsFromStart,DistanceTraveled
2020-05-07T13:30:23Z,81,59.1010671,24.6312245,,11538.0,255517.11312976613
2020-05-07T13:30:54Z,79,59.0972538,24.6321393,,11569.0,256919.21191456117
2020-05-07T13:31:24Z,77,59.0940166,24.6345365,,11599.0,258183.11316061224
2020-05-07T13:31:54Z,78,59.0913747,24.6366222,,11629.0,259223.4676788515
2020-05-07T13:32:25Z,76,59.0888745,24.6320812,,11660.0,260471.30137784925
2020-05-07T13:32:55Z,76,59.0858257,24.6304469,,11690.0,261625.30857732607
2020-05-07T13:33:26Z,77,59.0815516,24.6308216,,11721.0,263186.6262114591
2020-05-07T13:33:57Z,86,59.0803723,24.6229455,,11752.0,264724.895172459
2020-05-07T13:34:28Z,78,59.0822362,24.6142217,,11783.0,266496.4548819699
2020-05-07T13:34:58Z,80,59.081867,24.6077171,,11813.0,267723.5084038328
2020-05-07T13:35:28Z,85,59.0810655,24.6040643,,11843.0,268468.2706089135
2020-05-07T13:36:37Z,83,59.0810704,24.603506,,11912.0,268572.9723455736
2020-05-07T13:37:08Z,84,59.0794078,24.5963678,,11943.0,270042.5711466123
2020-05-07T13:37:39Z,74,59.077086,24.5911828,,11974.0,271332.25704340177
2020-05-07T13:38:10Z,81,59.0748259,24.5835944,,12005.0,272977.0890444055
2020-05-07T13:38:41Z,79,59.0729302,24.5775559,,12036.0,274304.1735454441
2020-05-07T13:39:50Z,80,59.0731482,24.5779396,,12105.0,274411.4471005086
2020-05-07T13:40:20Z,78,59.0754002,24.5875987,,12135.0,276400.6685696847
2020-05-07T13:40:51Z,68,59.0794682,24.5946123,,12166.0,278384.0236439173
2020-05-07T13:41:22Z,67,59.0810407,24.602885,,12197.0,280038.0031569576
2020-05-07T13:41:52Z,81,59.0824933,24.6115062,,12227.0,281739.2167142936
2020-05-07T13:42:23Z,74,59.0805157,24.6205776,,12258.0,283586.9279628574
2020-05-07T13:42:53Z,76,59.0807335,24.6296408,,12288.0,285288.2366668004
2020-05-07T13:43:24Z,76,59.0787518,24.6315801,,12319.0,286097.69676554744
2020-05-07T13:43:55Z,77,59.0755926,24.6357189,,12350.0,287487.4941499765
2020-05-07T13:44:26Z,90,59.0764061,24.647362,,12381.0,289691.088184139
2020-05-07T13:44:56Z,81,59.0783806,24.6577345,,12411.0,291765.4002951035
2020-05-07T13:45:27Z,81,59.0770766,24.6687838,,12442.0,293891.38364025834
2020-05-07T13:45:58Z,78,59.0777843,24.6777488,,12473.0,295592.2983427293
2020-05-07T13:46:29Z,79,59.0741113,24.6806648,,12504.0,297039.94015758287
2020-05-07T13:47:00Z,78,59.0676282,24.6839552,,12535.0,299484.97320717276
2020-05-07T13:47:31Z,81,59.06629,24.6852864,,12566.0,300033.46106300445
2020-05-07T13:48:40Z,84,59.0666375,24.685029,,12635.0,300169.1552166224
2020-05-07T13:49:11Z,84,59.0728931,24.6813068,,12666.0,302556.37239679944
2020-05-07T13:49:42Z,84,59.0800624,24.6774843,,12697.0,305269.0759809646
2020-05-07T13:50:12Z,85,59.0859696,24.6747905,,12727.0,307483.15524556173
2020-05-07T13:50:43Z,78,59.0901988,24.6807818,,12758.0,309391.9483254161
2020-05-07T13:51:13Z,79,59.0903465,24.6870698,,12788.0,310571.91868401
2020-05-07T13:51:44Z,84,59.0902818,24.6958317,,12819.0,312214.5784590163
2020-05-07T13:52:14Z,89,59.0927974,24.6960992,,12849.0,313133.9582754971
2020-05-07T13:52:45Z,87,59.0974534,24.6984326,,12880.0,314888.4455886231
2020-05-07T13:53:15Z,86,59.0997163,24.6997738,,12910.0,315751.6472406057
2020-05-07T13:53:46Z,84,59.1003706,24.6986896,,12941.0,316065.1692026164
2020-05-07T13:54:16Z,90,59.1022691,24.7011216,,12971.0,316894.44720508443
